1.000000000000000000e+00 1.000000000000000000e+00 1.221377627840909117e+05
1.000000000000000000e+00 2.000000000000000000e+00 1.220433316761363676e+05
1.000000000000000000e+00 3.000000000000000000e+00 1.116775424558080849e+05
1.000000000000000000e+00 4.000000000000000000e+00 1.082507979008838447e+05
1.000000000000000000e+00 5.000000000000000000e+00 1.070810542929293006e+05
1.000000000000000000e+00 6.000000000000000000e+00 1.017679759706439509e+05
1.000000000000000000e+00 7.000000000000000000e+00 9.546049731691919442e+04
1.000000000000000000e+00 8.000000000000000000e+00 8.915301866319443798e+04
1.000000000000000000e+00 9.000000000000000000e+00 8.284554000946969609e+04
1.000000000000000000e+00 1.000000000000000000e+01 7.861358593750000000e+04
1.000000000000000000e+00 1.100000000000000000e+01 7.725543513257575978e+04
1.000000000000000000e+00 1.200000000000000000e+01 7.589728432765151956e+04
1.000000000000000000e+00 1.300000000000000000e+01 7.453913352272727934e+04
1.000000000000000000e+00 1.400000000000000000e+01 7.318098271780302457e+04
1.000000000000000000e+00 1.500000000000000000e+01 7.182283191287878435e+04
1.000000000000000000e+00 1.600000000000000000e+01 7.046468110795454413e+04
1.000000000000000000e+00 1.700000000000000000e+01 6.910653030303030391e+04
1.000000000000000000e+00 1.800000000000000000e+01 6.774837949810604914e+04
1.000000000000000000e+00 1.900000000000000000e+01 6.626715123895202123e+04
1.000000000000000000e+00 2.000000000000000000e+01 6.471823037997158826e+04
1.000000000000000000e+00 2.100000000000000000e+01 6.316930952099116257e+04
1.000000000000000000e+00 2.200000000000000000e+01 6.162038866201073688e+04
1.000000000000000000e+00 2.300000000000000000e+01 6.105474747474747710e+04
1.000000000000000000e+00 2.400000000000000000e+01 6.102991010692865530e+04
1.000000000000000000e+00 2.500000000000000000e+01 6.100507273910985532e+04
1.000000000000000000e+00 2.600000000000000000e+01 6.098023537129103352e+04
1.000000000000000000e+00 2.700000000000000000e+01 6.095539800347221899e+04
1.000000000000000000e+00 2.800000000000000000e+01 6.093056063565341174e+04
1.000000000000000000e+00 2.900000000000000000e+01 6.090572326783459721e+04
